class,arm,estimator,snr0,family,index,hyperparameter,PHYSICAL_END_TO_END_all_state_error,CLASS_CONDITIONAL_all_state_error,CC_PROJLAB_all_state_error,PHYSICAL_END_TO_END_non_dead_error,PHYSICAL_END_TO_END_saturation_fraction,CLASS_CONDITIONAL_non_dead_error,CLASS_CONDITIONAL_saturation_fraction,stable_multi_cost_normalized
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,1,0.1,0.7106494444041951,0.7106494444041951,0.7106494444041951,0.7106494444041951,0.639344262295082,0.7106494444041951,0.639344262295082,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,2,0.1,0.7068377679317951,0.7075852445753813,0.7075852445753813,0.7068377679317951,0.6065573770491803,0.7075852445753813,0.6065573770491803,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,3,0.1,0.7143295488796382,0.7143295488796382,0.7143295488796382,0.7143295488796382,0.5409836065573771,0.7143295488796382,0.5409836065573771,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,4,0.1,0.7963113521685574,0.7903041158061331,0.7903041158061331,0.7963113521685574,0.6721311475409836,0.7903041158061331,0.6721311475409836,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,5,0.1,0.6701319643632473,0.6701319643632473,0.6701319643632473,0.6701319643632473,0.4426229508196721,0.6701319643632473,0.4426229508196721,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,6,0.1,0.7385769345568518,0.7385769345568518,0.7385769345568518,0.7385769345568518,0.6721311475409836,0.7385769345568518,0.6721311475409836,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,7,0.1,0.719760168967231,0.719760168967231,0.719760168967231,0.719760168967231,0.5737704918032787,0.719760168967231,0.5737704918032787,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,8,0.1,0.7674918041855151,0.7674918041855151,0.7674918041855151,0.7674918041855151,0.5901639344262295,0.7674918041855151,0.5901639344262295,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m1_rotating_crescent,9,0.1,0.8846455454785341,0.8846455454785341,0.8846455454785341,0.8846455454785341,0.7868852459016393,0.8846455454785341,0.7868852459016393,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,0,0.1,0.894228697648365,0.894228697648365,0.894228697648365,0.894228697648365,0.7868852459016393,0.894228697648365,0.7868852459016393,2.0201937766883615
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,1,0.1,0.7230884665386079,0.721914522876711,0.721914522876711,0.7230884665386079,0.5901639344262295,0.721914522876711,0.5901639344262295,1.4461769330772156
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,2,0.1,0.7407059407742864,0.7407059407742864,0.7407059407742864,0.7407059407742864,0.5737704918032787,0.7407059407742864,0.5737704918032787,1.7169165227785772
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,3,0.1,0.6287797405112037,0.6287797405112037,0.6287797405112037,0.6287797405112037,0.5081967213114754,0.6287797405112037,0.5081967213114754,1.3403316182129796
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,4,0.1,0.6232443270327335,0.6187989074815903,0.6187989074815903,0.6232443270327335,0.45901639344262296,0.6187989074815903,0.45901639344262296,1.316602444392705
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,5,0.1,0.6804712054942609,0.6804712054942609,0.6804712054942609,0.6804712054942609,0.47540983606557374,0.6804712054942609,0.47540983606557374,1.51430873307629
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,6,0.1,0.6880290795844803,0.6880290795844803,0.6880290795844803,0.6880290795844803,0.6065573770491803,0.6880290795844803,0.6065573770491803,1.4006568303593774
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,7,0.1,0.7126138948049086,0.7126138948049086,0.7126138948049086,0.7126138948049086,0.5081967213114754,0.7126138948049086,0.5081967213114754,1.685001468829194
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,8,0.1,0.8319496991471875,0.8319496991471875,0.8319496991471875,0.8319496991471875,0.7049180327868853,0.8319496991471875,0.7049180327868853,1.8873597659146457
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,m2_structural_mode,9,0.1,0.636166474670009,0.636166474670009,0.636166474670009,0.636166474670009,0.5245901639344263,0.636166474670009,0.5245901639344263,1.412725929692594
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,0,0.1,0.9542313597191177,0.9531970473474743,0.9531970473474743,0.9542313597191177,0.7868852459016393,0.9531970473474743,0.7868852459016393,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,1,0.1,0.916751415563102,0.9200266361586554,0.9200266361586554,0.916751415563102,0.6680327868852459,0.9200266361586554,0.6680327868852459,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,2,0.1,0.8851168651356428,0.8891144010397932,0.8891144010397932,0.8851168651356428,0.7377049180327869,0.8891144010397932,0.7377049180327869,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,3,0.1,0.9370089912021717,0.9384613000357293,0.9384613000357293,0.9370089912021717,0.7377049180327869,0.9384613000357293,0.7377049180327869,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,4,0.1,0.9714812121501442,0.9727918651253105,0.9727918651253105,0.9714812121501442,0.8114754098360656,0.9727918651253105,0.8114754098360656,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,5,0.1,0.8116295794406669,0.8097652585961426,0.8097652585961426,0.8116295794406669,0.7622950819672132,0.8097652585961426,0.7622950819672132,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,6,0.1,0.9665817050272698,0.9669599343469825,0.9669599343469825,0.9665817050272698,0.8360655737704918,0.9669599343469825,0.8360655737704918,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,7,0.1,0.9541493454142957,0.9530376155038133,0.9530376155038133,0.9541493454142957,0.7704918032786885,0.9530376155038133,0.7704918032786885,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,8,0.1,0.9660004035059125,0.9657361306041833,0.9657361306041833,0.9660004035059125,0.8360655737704918,0.9657361306041833,0.8360655737704918,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,plunging_feature,9,0.1,0.9393090366089865,0.9397822596869438,0.9397822596869438,0.9393090366089865,0.7459016393442622,0.9397822596869438,0.7459016393442622,
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,0,0.1,0.6820282223876695,0.6831280629002279,0.6831280629002279,0.6820282223876695,0.4426229508196721,0.6831280629002279,0.4426229508196721,1.4171548314440152
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,1,0.1,0.7318583252872541,0.7318583252872541,0.3745346094857707,0.7318583252872541,0.639344262295082,0.7318583252872541,0.639344262295082,0.8285136041536497
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,1000.0,two_hotspot_trajectories,2,0.1,0.43147504038686463,0.3493616212173505,0.3493616212173505,0.43147504038686463,0.0,0.3493616212173505,0.0,
