source_class,arm,estimator,snr0,scope,bank,n_banks_in_scope,mean_direct,mean_arm,median_relative_reduction,median_ci_low,median_ci_high,relative_reduction,ci_low,ci_high,n_families_improved,all_primary_banks_positive,n_truths,n_cells,meets_materiality,improved_circular_single_hotspot,improved_circular_two_hotspots,improved_circular_crescent,improved_plunging_hotspot,positive_constant_flux_structural,positive_structure_balanced_050,positive_structure_balanced_080
L1056,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_080,1,3.061738350760962,2.7961307179921735,0.02509621323615696,-0.05748285170816523,0.13693827556430183,-0.007714444026154434,-0.12174531917403408,0.08402150393154387,3,True,32,4,False,True,True,True,False,,,True
L1056,RESOLVED_PHYSICAL,TSVD,100.0,single_bank,structure_balanced_080,1,3.105185464478975,2.3322766893828706,0.1902843101144638,0.10948603184535335,0.3279208763191695,0.14116575379505825,0.00720440054901516,0.2505050856327046,3,True,32,4,False,True,True,True,False,,,True
L1056,TOTAL_FLUX,TSVD,100.0,single_bank,structure_balanced_080,1,3.105185464478975,3.09183795551425,0.0061549283379259585,-0.005472927597833432,0.02585625347419645,0.022395318666734932,0.0067143485538785855,0.041816808180793294,2,True,32,4,False,True,False,False,True,,,True
L1056,UNRESOLVED_IMAGE,TSVD,100.0,single_bank,structure_balanced_080,1,3.105185464478975,2.8776907217883894,0.011324048069293295,-0.06429965731483982,0.12230203113042054,-0.0031204942372893285,-0.09380117590225279,0.07426128316285008,3,True,32,4,False,True,True,True,False,,,True
L224,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_080,1,2.6652071414388203,2.0018593676792884,0.2835791500283887,-0.027959530270556386,0.36649920616081044,0.027841558094925695,-0.18160776168835643,0.2007452811930528,3,True,32,4,False,True,True,True,False,,,True
L224,TOTAL_FLUX,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_080,1,2.6652071414388203,2.8258258146862243,-0.040842856348273476,-0.06794901264381796,-0.00986961811548416,-0.01874057656557348,-0.06187428406975315,0.030484034426361363,1,False,32,4,False,False,False,False,True,,,False
L224,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_080,1,2.6652071414388203,2.4782141787835497,0.06867589055753459,-0.06605269143232884,0.12148332921154326,-0.06151274089900553,-0.18566540920842914,0.046391260818936166,3,True,32,4,False,True,True,True,False,,,True
L224,RESOLVED_PHYSICAL,TSVD,100.0,single_bank,structure_balanced_080,1,2.691278227768419,2.335557840799939,0.11006948097217872,-0.21503290379933315,0.3125485731835394,-0.24395929852868659,-0.6471285303022948,0.05283140871987588,3,True,32,4,False,True,True,True,False,,,True
L224,TOTAL_FLUX,TSVD,100.0,single_bank,structure_balanced_080,1,2.691278227768419,2.834929421961652,-0.037209781044209855,-0.06163631456978844,-0.004903365948295963,-0.02647491730975725,-0.054760593676531084,0.003048882132955875,1,False,32,4,False,False,False,False,True,,,False
L224,UNRESOLVED_IMAGE,TSVD,100.0,single_bank,structure_balanced_080,1,2.691278227768419,2.5367922660065587,0.00935652684861558,-0.08170440882319713,0.11483462524294687,-0.027696254719987275,-0.10625202490884222,0.04214276311169106,3,True,32,4,False,True,True,True,False,,,True
L448,RESOLVED_PHYSICAL,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_080,1,2.863184904280947,2.1312989148287578,0.27490246154523224,0.10662068483005874,0.3286169461450311,0.07155112268517788,-0.12206668903006404,0.2214448947962646,3,True,32,4,False,True,True,True,False,,,True
L448,TOTAL_FLUX,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_080,1,2.863184904280947,2.889708888548001,-0.0014561467575664342,-0.016262143868353375,0.013275855404303318,0.011692369483428807,-0.00753009509279326,0.038114117305562495,1,False,32,4,False,False,False,False,True,,,False
L448,UNRESOLVED_IMAGE,RIDGE_IDENTITY,100.0,single_bank,structure_balanced_080,1,2.863184904280947,2.7378610097809757,0.05405696765202908,-0.14323380599128038,0.12604282301862968,-0.10698788501399248,-0.25783958840253013,0.015281040031829498,2,True,32,4,False,False,True,True,False,,,True
L448,RESOLVED_PHYSICAL,TSVD,100.0,single_bank,structure_balanced_080,1,2.868905803890607,2.617480347212089,0.05584885914265579,-0.18195513821733048,0.2464184724326324,-0.27080908131790643,-0.6873272565228098,0.018039141450980938,3,True,32,4,False,True,True,True,False,,,True
L448,TOTAL_FLUX,TSVD,100.0,single_bank,structure_balanced_080,1,2.868905803890607,2.8900771466973825,-0.0005542937998868684,-0.00812871087040666,0.008591759005503524,0.002322791070651489,-0.006891683499840279,0.013667274855069498,1,False,32,4,False,False,False,False,True,,,False
L448,UNRESOLVED_IMAGE,TSVD,100.0,single_bank,structure_balanced_080,1,2.868905803890607,3.114683742999062,-0.04220470796035969,-0.3503936897302294,0.011615910042302077,-0.3556652881134482,-0.6432646304877043,-0.142293991804217,1,False,32,4,False,False,False,True,False,,,False
