source_class,bank,family,index,retarded_age,oracle_floor_absolute,oracle_floor_normalized,truth_structure_norm,reachable_at_epsilon,in_old_band
L224,constant_flux_structural,circular_single_hotspot,3,28.0,2.0779039271173985,0.17784884257198733,11.683539218290564,True,False
L224,constant_flux_structural,circular_single_hotspot,3,30.0,1.9498659100447886,0.16813332124566213,11.597141456545726,True,False
L224,constant_flux_structural,circular_single_hotspot,3,32.0,1.85446967647698,0.15862209244510836,11.691118480981611,True,False
L224,constant_flux_structural,circular_single_hotspot,3,34.0,1.757409211001129,0.15146867578940357,11.60245972866737,True,False
L224,constant_flux_structural,circular_single_hotspot,3,36.0,1.735879762723341,0.14835419129978245,11.700914868091676,True,False
L224,constant_flux_structural,circular_single_hotspot,3,38.0,1.7677331757417376,0.15225469347136164,11.610369016796447,True,False
L224,constant_flux_structural,circular_single_hotspot,3,40.0,1.84874295047271,0.1578494053137902,11.712067883927583,True,False
L224,constant_flux_structural,circular_single_hotspot,3,42.0,1.9018988866870794,0.16370936788521698,11.617532406701216,True,False
L224,constant_flux_structural,circular_single_hotspot,3,44.0,1.964349855343084,0.16763616997117595,11.7179356679459,True,False
L224,constant_flux_structural,circular_single_hotspot,3,46.0,1.9448508240723184,0.1674636917452637,11.613567118959226,True,False
L224,constant_flux_structural,circular_single_hotspot,3,48.0,1.9311064525154007,0.16492440640973946,11.709039884113604,True,False
L224,constant_flux_structural,circular_single_hotspot,3,50.0,1.8467282652915513,0.15916610247905905,11.602522374602465,True,False
L224,constant_flux_structural,circular_single_hotspot,3,52.0,1.7903160738384873,0.15301771674636055,11.700057430644344,True,False
L224,constant_flux_structural,circular_single_hotspot,3,54.0,1.7235373903697622,0.1486579127390488,11.593983519701546,True,False
L224,constant_flux_structural,circular_single_hotspot,3,56.0,1.7117933730264092,0.1463912257874479,11.693278499572372,True,False
L224,constant_flux_structural,circular_single_hotspot,3,58.0,1.7185318763663473,0.14830085664308637,11.588145309924368,True,True
L224,constant_flux_structural,circular_single_hotspot,3,60.0,1.774695381822374,0.15183030688302163,11.688676775116424,True,True
L224,constant_flux_structural,circular_single_hotspot,3,62.0,1.8073660857161342,0.156009436959908,11.584979222638944,True,True
L224,constant_flux_structural,circular_single_hotspot,3,64.0,1.8640547595524388,0.1595086551650364,11.686229550514268,True,True
L224,constant_flux_structural,circular_single_hotspot,3,66.0,1.857041486061664,0.1603044330927912,11.584467442561165,True,True
L224,constant_flux_structural,circular_single_hotspot,3,68.0,1.8623423781051998,0.15936624667560345,11.685927333760167,True,True
L224,constant_flux_structural,circular_single_hotspot,3,70.0,1.8074319932866039,0.15599325980392603,11.58660313630496,True,True
L224,constant_flux_structural,circular_single_hotspot,3,72.0,1.7732781531094415,0.15172077809535842,11.687773918447174,True,True
L224,constant_flux_structural,circular_single_hotspot,3,74.0,1.7192035609339416,0.14831728442740716,11.591390494850879,True,True
L224,constant_flux_structural,circular_single_hotspot,3,76.0,1.7063454469914314,0.14594394681314085,11.69178636217197,True,True
L224,constant_flux_structural,circular_single_hotspot,3,78.0,1.6990873759936123,0.1464876391038479,11.598844696985639,True,True
L224,constant_flux_structural,circular_single_hotspot,3,80.0,1.7383880952623167,0.14860565190040514,11.69799447754098,True,True
L224,constant_flux_structural,circular_single_hotspot,3,82.0,1.7611390480356002,0.1517048752299176,11.608981223355485,True,True
L224,constant_flux_structural,circular_single_hotspot,3,84.0,1.8136162229909014,0.15492622586282886,11.706321592037432,True,True
L224,constant_flux_structural,circular_single_hotspot,3,86.0,1.8171034253381584,0.15636202626266424,11.621129942929386,True,True
L224,constant_flux_structural,circular_single_hotspot,3,88.0,1.833734800820918,0.15654648539081648,11.713675948987424,True,True
L224,constant_flux_structural,circular_single_hotspot,3,90.0,1.7980684276798629,0.15467790031701326,11.624598109973766,True,True
L224,constant_flux_structural,circular_single_hotspot,3,92.0,1.7743206969554268,0.15160769977855865,11.703367965789576,True,True
L224,constant_flux_structural,circular_single_hotspot,3,94.0,1.7277018859321147,0.14873567885920655,11.615920935605239,True,True
L224,constant_flux_structural,circular_single_hotspot,3,96.0,1.7087713001228648,0.14616245977300069,11.69090409929261,True,True
L224,constant_flux_structural,circular_single_hotspot,3,98.0,1.6921613182344426,0.14575811099885821,11.609380134239652,True,True
L224,constant_flux_structural,circular_single_hotspot,3,100.0,1.7148958495870594,0.14681449420557027,11.680698550007298,True,True
L224,constant_flux_structural,circular_single_hotspot,3,102.0,1.7306379586528584,0.14912246278658783,11.605481336031911,True,True
L224,constant_flux_structural,circular_single_hotspot,3,104.0,1.7760454509344568,0.15215309545587458,11.672752668048886,True,True
