geometry,spin,inclination_deg,arm,snr0,a0_999_lower_limit_M,J_old,J_old_best_mode,J_old_log_volume,deltaG_rank,deltaG_trace,deltaG_stable_rank,deltaG_min_positive_eigenvalue,deltaG_max_eigenvalue,deltaG_min_eigenvalue,deltaG_numerical_tolerance
a000_i020,0.0,20,PAIRING_DESTROYED,1000.0,18.47709816245863,287.01556452406794,606.4242201030627,8442.625195650166,,,,,,,
a000_i020,0.0,20,PAIRING_DESTROYED,3000.0,18.47709816245863,439.39417952990857,788.8778040626573,12406.675700484378,,,,,,,
a000_i020,0.0,20,PAIRING_DESTROYED,10000.0,18.47709816245863,625.27652895434,993.1546724710965,17216.430880423977,,,,,,,
a000_i020,0.0,20,PAIRING_DESTROYED,30000.0,18.47709816245863,804.4101084635399,1183.827135312228,21852.492723511255,,,,,,,
a000_i020,0.0,20,PAIRING_DESTROYED,100000.0,18.47709816245863,1005.573887652087,1394.4477252311733,27098.56466160956,,,,,,,
a000_i020,0.0,20,PAIRING_DESTROYED,1000000.0,18.47709816245863,1402.5501079934306,1802.905827688958,37487.654283335854,,,,,,,
a000_i020,0.0,20,PAIRING_DESTROYED,100.0,18.47709816245863,57.10823154509926,258.6083498956042,2485.9062836948606,,,,,,,
a000_i020,0.0,20,DELTA_G_INDIRECT,100.0,18.47709816245863,,,,224.0,6473539.5036829375,3.690938408398982,1.7940455792724568e-05,712136.9669458973,1.7940455792724568e-05,3.542026241107465e-08
a000_i050,0.0,50,DIRECT_PHYSICAL,1.0,58.11851405777771,0.003681223988566442,0.031216364570877474,0.04959582422729569,,,,,,,
a000_i050,0.0,50,DIRECT_PHYSICAL,3.0,58.11851405777771,0.03284413613431666,0.26179101754147754,0.4225153360385934,,,,,,,
a000_i050,0.0,50,DIRECT_PHYSICAL,10.0,58.11851405777771,0.33527827477216243,1.966064722251556,3.41705166251811,,,,,,,
