family,index,class,off_manifold,canary,n_multi_before,n_merged,merger_rate,representation_floor_median,representation_floor_max
flare_birth_motion_decay,19,L448_contrast,False,False,0,0,0.0,0.0,22.276950294699404
flare_birth_motion_decay,19,L896_radial_enriched,False,False,0,0,0.0,0.0,22.18171219946131
flare_birth_motion_decay,20,L448_contrast,False,False,0,0,0.0,0.9523809523809527,0.9846468800834388
flare_birth_motion_decay,20,L896_radial_enriched,False,False,0,0,0.0,0.2380952380952389,0.3452380952380952
flare_birth_motion_decay,21,L448_contrast,False,False,0,0,0.0,0.0,22.18171219946131
flare_birth_motion_decay,21,L896_radial_enriched,False,False,0,0,0.0,0.0,0.3452380952380932
flare_birth_motion_decay,22,L448_contrast,False,False,0,0,0.0,0.0,22.169807437556546
flare_birth_motion_decay,22,L896_radial_enriched,False,False,0,0,0.0,0.0,22.169807437556546
flare_birth_motion_decay,23,L448_contrast,False,False,0,0,0.0,0.0,0.23809523809523656
flare_birth_motion_decay,23,L896_radial_enriched,False,False,0,0,0.0,0.0,0.23809523809523656
plunging_feature,0,L448_contrast,False,False,0,0,0.0,23.00736524689717,23.312664580413692
plunging_feature,0,L896_radial_enriched,False,False,0,0,0.0,0.5000000000000006,1.000000000000001
plunging_feature,1,L448_contrast,False,False,0,0,0.0,2.6891326185896456,2.814060098925186
plunging_feature,1,L896_radial_enriched,False,False,0,0,0.0,1.3376312532288195,1.5737717018724555
plunging_feature,2,L448_contrast,False,False,0,0,0.0,2.615690489085793,3.107142857142858
plunging_feature,2,L896_radial_enriched,False,False,0,0,0.0,1.573771701872451,2.2998385529455145
plunging_feature,3,L448_contrast,False,False,0,0,0.0,22.6221883899375,22.82011378073777
plunging_feature,3,L896_radial_enriched,False,False,0,0,0.0,0.5537953976006181,0.7868858509362279
plunging_feature,4,L448_contrast,False,False,0,0,0.0,22.803609029156576,23.160615809038827
plunging_feature,4,L896_radial_enriched,False,False,0,0,0.0,0.6904761904761921,1.1075907952012396
plunging_feature,5,L448_contrast,False,False,0,0,0.0,1.9150022350093243,2.7689769880030974
plunging_feature,5,L896_radial_enriched,False,False,0,0,0.0,1.5187788984587696,2.511312274967737
plunging_feature,6,L448_contrast,False,False,0,0,0.0,2.278292762976742,2.761904761904763
plunging_feature,6,L896_radial_enriched,False,False,0,0,0.0,1.3376312532288233,2.055907918564088
plunging_feature,7,L448_contrast,False,False,0,0,0.0,22.469538723179237,22.622188389937502
plunging_feature,7,L896_radial_enriched,False,False,0,0,0.0,0.34523809523809385,0.5537953976006215
plunging_feature,8,L448_contrast,False,False,0,0,0.0,23.445256492348243,23.67550585885184
plunging_feature,8,L896_radial_enriched,False,False,0,0,0.0,0.5000000000000006,1.000000000000001
plunging_feature,9,L448_contrast,False,False,0,0,0.0,22.485507597061925,22.718598050397535
plunging_feature,9,L896_radial_enriched,False,False,0,0,0.0,0.5537953976006174,0.7868858509362273
plunging_feature,10,L448_contrast,False,False,0,0,0.0,2.1165381074033855,2.9966203563499185
plunging_feature,10,L896_radial_enriched,False,False,0,0,0.0,1.7661226861131791,2.7602879093318577
plunging_feature,11,L448_contrast,False,False,0,0,0.0,1.7261904761904763,2.1165381074033855
plunging_feature,11,L896_radial_enriched,False,False,0,0,0.0,1.2724737099066639,1.7661226861131791
plunging_feature,12,L448_contrast,False,False,0,0,0.0,2.2422706745122842,3.0046260628866577
plunging_feature,12,L896_radial_enriched,False,False,0,0,0.0,1.5737717018724506,2.5449474198133277
plunging_feature,13,L448_contrast,False,False,0,0,0.0,2.2422706745122842,3.004626062886656
plunging_feature,13,L896_radial_enriched,False,False,0,0,0.0,1.5737717018724506,2.5449474198133255
plunging_feature,14,L448_contrast,False,False,0,0,0.0,2.496284086469889,2.5824279738964293
plunging_feature,14,L896_radial_enriched,False,False,0,0,0.0,0.8884015812764569,1.10759079520124
plunging_feature,15,L448_contrast,False,False,0,0,0.0,1.3809523809523814,1.7768031625529188
plunging_feature,15,L896_radial_enriched,False,False,0,0,0.0,1.0279539592820441,1.5187788984587696
plunging_feature,16,L448_contrast,False,False,0,0,0.0,1.2289036095775172,1.6613861928018618
plunging_feature,16,L896_radial_enriched,False,False,0,0,0.0,1.1075907952012376,1.5737717018724553
plunging_feature,17,L448_contrast,False,False,0,0,0.0,22.68171219946131,23.18171219946131
plunging_feature,17,L896_radial_enriched,False,False,0,0,0.0,0.7868858509362257,1.272473709906664
plunging_feature,18,L448_contrast,False,False,0,0,0.0,2.416666666666665,3.0046260628866577
plunging_feature,18,L896_radial_enriched,False,False,0,0,0.0,1.766122686113177,2.511312274967737
plunging_feature,19,L448_contrast,False,False,0,0,0.0,1.8901598031998903,2.600039246171614
plunging_feature,19,L896_radial_enriched,False,False,0,0,0.0,1.7499999999999987,2.5000000000000004
