regime,family,split,index,relative_error,max_absolute_error,bias,min_estimate,n_clipped,clipped_fraction
joint_inversion,circular_hotspot_trajectory,selection,1,0.017491567476881634,0.07936378411281697,3.3234699714501657e-15,0.37661079006817577,0.0,0.0
joint_inversion,circular_hotspot_trajectory,selection,2,0.01477259874742002,0.028260502701132673,2.6872601366356717e-15,0.2956883505907167,0.0,0.0
joint_inversion,circular_hotspot_trajectory,selection,3,0.013656034739883645,0.06929169196772111,2.9060087669563473e-15,0.3264688471534566,0.0,0.0
joint_inversion,circular_hotspot_trajectory,selection,4,0.02022582391742513,0.08605471437859524,4.0054765060304476e-15,0.25702138688581927,0.0,0.0
joint_inversion,circular_hotspot_trajectory,selection,5,0.013280343552903348,0.0339939935428657,1.533148608068302e-15,0.338781021034544,0.0,0.0
joint_inversion,circular_hotspot_trajectory,selection,6,0.013726426780938834,0.03689566993687854,4.427101046866611e-15,0.21682538306158305,0.0,0.0
joint_inversion,circular_hotspot_trajectory,selection,7,0.014689492464568294,0.026354951233654944,6.0017962821845575e-15,0.2087041210736283,0.0,0.0
joint_inversion,flare_birth_motion_decay,pilot,0,0.016014391791634393,0.04835347369454368,8.366918269331336e-15,0.24177968555115362,0.0,0.0
joint_inversion,flare_birth_motion_decay,pilot,1,0.012145494293107947,0.025162756566560973,4.939972042539153e-15,0.20523748662414826,0.0,0.0
joint_inversion,flare_birth_motion_decay,pilot,2,0.01939718513538149,0.04368515949437546,3.923944502659538e-15,0.18473110812110632,0.0,0.0
joint_inversion,flare_birth_motion_decay,pilot,3,0.012046758580046089,0.032196120167759856,1.5563939026463914e-15,0.44062327453541744,0.0,0.0
joint_inversion,flare_birth_motion_decay,pilot,4,0.01412088301960509,0.03838790147488069,2.7047808437430377e-15,0.3519915778612717,0.0,0.0
joint_inversion,flare_birth_motion_decay,pilot,5,0.014173695437177562,0.03560838351200979,3.2726425736040453e-15,0.30578039010796493,0.0,0.0
joint_inversion,flare_birth_motion_decay,pilot,6,0.017334462876622558,0.0288456916465345,2.725944470149955e-15,0.2230080256914695,0.0,0.0
joint_inversion,flare_birth_motion_decay,pilot,7,0.017077959416801028,0.046212894258518045,3.553407568190892e-15,0.19109797100543585,0.0,0.0
joint_inversion,flare_birth_motion_decay,selection,0,0.014156962805598403,0.04248605751943191,6.099981630924845e-15,0.2085321850137161,0.0,0.0
joint_inversion,flare_birth_motion_decay,selection,1,0.009398080043451303,0.038831556768427866,3.922903668573952e-15,0.27156141337958256,0.0,0.0
joint_inversion,flare_birth_motion_decay,selection,2,0.050195099943065556,0.12236966468784938,5.230017807722476e-15,0.2019969632466976,0.0,0.0
joint_inversion,flare_birth_motion_decay,selection,3,0.044514310120157684,0.12113953321487525,2.282375677342685e-15,0.29656060512352006,0.0,0.0
joint_inversion,flare_birth_motion_decay,selection,4,0.013658093394922152,0.04174640888019887,6.703318455869578e-15,0.21236746298861475,0.0,0.0
joint_inversion,flare_birth_motion_decay,selection,5,0.012911437287180626,0.047088603604758195,3.6052758001225985e-15,0.25663267331179,0.0,0.0
joint_inversion,flare_birth_motion_decay,selection,6,0.012291331940055862,0.034714301882897036,3.2389022019962964e-15,0.4153233352661296,0.0,0.0
joint_inversion,flare_birth_motion_decay,selection,7,0.01453224902968313,0.0613436904148732,3.5006719745211967e-15,0.2328613947670891,0.0,0.0
joint_inversion,m1_rotating_crescent,pilot,0,0.007276267993337193,0.02447701931301194,5.489098758859612e-15,0.35146188543914236,0.0,0.0
joint_inversion,m1_rotating_crescent,pilot,1,0.016223096794108785,0.04315575591478371,5.471838260273643e-15,0.22003460201700362,0.0,0.0
joint_inversion,m1_rotating_crescent,pilot,2,0.014482974449125592,0.049576459861891964,4.129682706910387e-15,0.3061660360474648,0.0,0.0
joint_inversion,m1_rotating_crescent,pilot,3,0.07383493016156349,0.26375186781465665,5.663351732021482e-15,0.2445849920395728,0.0,0.0
