delay_structure,spatial_structure,attenuation,gamma,seed,max_order,numerical_rank,operational_rank,new_algebraic_modes,new_operational_modes,sigma_min_positive,kappa_positive
perturbed,identical,exponential,0.6,9000,1,16,7,0,3,0.0006732942687981087,1779.6364320800758
perturbed,identical,exponential,0.6,9000,2,16,7,0,0,0.0028310195126489907,437.6738658589129
perturbed,identical,exponential,0.6,9000,3,16,7,0,0,0.013604507952870616,91.85757050500332
perturbed,identical,exponential,0.6,9000,4,16,7,0,0,0.0499485278827541,25.047037865298993
perturbed,identical,exponential,0.6,9000,5,16,7,0,0,0.06411009500022455,19.51763910361555
perturbed,identical,exponential,0.9,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
perturbed,identical,exponential,0.9,9000,1,16,7,0,3,0.000564616703068148,2008.3083038039433
perturbed,identical,exponential,0.9,9000,2,16,7,0,0,0.0020610747202729437,556.5300507146804
perturbed,identical,exponential,0.9,9000,3,16,7,0,0,0.007057012360338739,162.79509360277706
perturbed,identical,exponential,0.9,9000,4,16,7,0,0,0.016774365189697205,68.49299319399552
perturbed,identical,exponential,0.9,9000,5,16,7,0,0,0.01908081589270204,60.21391972955852
perturbed,rotation,equalized,0.0,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
perturbed,rotation,equalized,0.0,9000,1,24,9,8,5,1.6486521730384408e-05,87809.52681425298
perturbed,rotation,equalized,0.0,9000,2,24,9,0,0,0.0006869426710161113,2472.2830543660125
perturbed,rotation,equalized,0.0,9000,3,24,12,0,3,0.004304803806010145,430.7378576574224
perturbed,rotation,equalized,0.0,9000,4,24,14,0,2,0.03015543233303363,65.3558699165803
perturbed,rotation,equalized,0.0,9000,5,24,15,0,1,0.11389197836755255,18.90018051543004
perturbed,rotation,exponential,0.3,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
perturbed,rotation,exponential,0.3,9000,1,24,7,8,3,1.647433735005151e-05,77913.24222612973
perturbed,rotation,exponential,0.3,9000,2,24,8,0,1,0.0005723318360521116,2395.295183570752
perturbed,rotation,exponential,0.3,9000,3,24,8,0,0,0.0030024558650650606,465.03209547958943
perturbed,rotation,exponential,0.3,9000,4,24,8,0,0,0.015025885711051835,93.34849987122571
perturbed,rotation,exponential,0.3,9000,5,24,8,0,0,0.06407094523351449,22.004008530001116
perturbed,rotation,exponential,0.6,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
perturbed,rotation,exponential,0.6,9000,1,24,7,8,3,1.6452172390964193e-05,71964.75280111418
perturbed,rotation,exponential,0.6,9000,2,24,7,0,0,0.00047090542661976483,2574.970097437747
perturbed,rotation,exponential,0.6,9000,3,24,7,0,0,0.0021107942344315103,576.2640905514061
perturbed,rotation,exponential,0.6,9000,4,24,7,0,0,0.007388479392704016,164.66427722746576
perturbed,rotation,exponential,0.6,9000,5,24,7,0,0,0.019375356224981488,62.79704888758673
perturbed,rotation,exponential,0.9,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
perturbed,rotation,exponential,0.9,9000,1,24,5,8,1,1.6411906203312682e-05,68586.65135657928
perturbed,rotation,exponential,0.9,9000,2,24,5,0,0,0.0003806648054011291,2980.6905491470748
perturbed,rotation,exponential,0.9,9000,3,24,5,0,0,0.0014132604023574678,803.2763219329712
perturbed,rotation,exponential,0.9,9000,4,24,5,0,0,0.00361265007094355,314.2441468094329
perturbed,rotation,exponential,0.9,9000,5,24,5,0,0,0.0059737365481201095,190.04135057336487
perturbed,rotation_shear,equalized,0.0,9000,0,16,4,16,4,3.242219378726888e-05,32398.98435589761
perturbed,rotation_shear,equalized,0.0,9000,1,24,9,8,5,1.405685634963962e-05,112890.29284700498
perturbed,rotation_shear,equalized,0.0,9000,2,24,11,0,2,0.0006907256876139391,2950.297850379412
perturbed,rotation_shear,equalized,0.0,9000,3,24,14,0,3,0.004734229578101226,502.1076161425812
perturbed,rotation_shear,equalized,0.0,9000,4,24,16,0,2,0.04466561593980903,60.2894940989213
