family,index,off_manifold,canary,age_M,level,multiplicity_label,centroid_r,centroid_phi,total_contrast,second_moment_rr,second_moment_pp,second_moment_rp,a_m1,a_m2,radial_mass_fraction_peak
two_hotspot_trajectories,7,False,False,112.0,2,2,20.777882800059896,4.823723011863075,35.263600853845894,0.014778425059733086,0.21665981517412672,0.005308435586846274,0.8961157000509363,0.6331926102907176,0.17162167006213544
two_hotspot_trajectories,7,False,False,114.0,2,2,20.777958686972557,4.803378261112508,35.25585266102737,0.014778768178744057,0.21675342213675156,0.0053466140033498815,0.8960730376920902,0.633064797929943,0.17161910687052462
two_hotspot_trajectories,7,False,False,116.0,2,2,20.77807339187909,4.783066974628396,35.24813780323877,0.01477886446351264,0.2168495911306766,0.005386031064577479,0.8960292139291288,0.6329335450141427,0.1716322979897974
two_hotspot_trajectories,7,False,False,118.0,2,2,20.778210948533175,4.7627526829429785,35.24069963535156,0.014779522526347481,0.216955520182131,0.00542600668470796,0.8959810834055112,0.6327907902579676,0.17161522963873066
two_hotspot_trajectories,7,False,False,120.0,2,2,20.778321399585646,4.742491882458694,35.233322439997195,0.014779455254369278,0.21705521793570656,0.005461964408257383,0.895935645207121,0.632654762088751,0.17162345480235452
two_hotspot_trajectories,12,False,False,114.0,2,2,13.43396217686871,4.6970606547140275,147.41438987649403,0.17290775344530426,0.1943022495222447,-0.06226782863577536,0.9068102169988826,0.6703638068740383,0.06216592789672967
two_hotspot_trajectories,12,False,False,116.0,2,2,13.435798739582333,4.661043808647611,147.48894152435832,0.17289807728295634,0.19060373392514335,-0.05971699604644945,0.9084834654875965,0.675260652250987,0.06214421584447343
two_hotspot_trajectories,12,False,False,118.0,2,2,13.438178255639501,4.6250110147327925,147.5527916613499,0.17290236259483266,0.18706307573683512,-0.057216408501243154,0.910092275048306,0.6800368816253878,0.06211823315500885
two_hotspot_trajectories,12,False,False,120.0,2,2,13.440343016951187,4.589156713272815,147.59445970288147,0.1728995223838073,0.18357256622363094,-0.054720333030284375,0.9116819751007772,0.684793651920041,0.06209373927418782
counter_rotating_pair,1,True,False,0.0,2,2,16.225207855718896,5.059378849469354,72.13092303195349,0.10821473628928693,2.2772317778386193,0.3142574195835029,0.23731958936521783,0.25878317210113333,0.07365071716026125
counter_rotating_pair,1,True,False,2.0,2,2,16.223678270363916,5.031260244197703,72.09326301191722,0.10825338589776831,2.3024141054310956,0.3186109182100327,0.23049209657143147,0.2550816173197803,0.07368129052358396
counter_rotating_pair,1,True,False,4.0,2,2,16.222370849984955,5.003039435984762,72.05705259384084,0.10829570860357443,2.3274464481252664,0.3229019381561393,0.2238228010226372,0.25143996920229655,0.07371545840221316
counter_rotating_pair,1,True,False,6.0,2,2,16.22172070933788,4.974841147010466,72.01827740470964,0.10834166118394849,2.352352536648377,0.3210554335213411,0.21703985296545647,0.24771383006802009,0.07376550977862596
