family,index,truth_seed,off_manifold,canary,expected_multiplicity,n_ages,n_single_resolved,n_multi_resolved,n_blended,n_dead,n_ambiguous,grid_convergence_cells_median,grid_convergence_cells_max,grid_convergence_cardinality_error_max,contrast_fraction,peak_fraction_of_background
flare_birth_motion_decay,13,2155793451078235746,False,False,1,61,26,0,0,35,0,0.25293230074824463,0.25293230074824685,0,0.010473528940017489,0.6876378193104903
flare_birth_motion_decay,14,7709081978523257146,False,False,1,61,26,0,0,35,0,0.297513979769301,0.2975139797693029,0,0.07956744200028779,0.7454789241762865
flare_birth_motion_decay,15,2439151291801832305,False,False,1,61,22,0,0,39,0,0.04608294930875557,0.2542117979500463,0,0.00435323596069062,0.4312490796565487
flare_birth_motion_decay,16,7926034818450557722,False,False,1,61,25,0,0,36,0,0.31060941948352583,0.31060941948352583,0,0.012827822420868712,0.5288733576734144
flare_birth_motion_decay,17,2256020511475647924,False,False,1,61,27,0,0,34,0,0.2692012288786473,0.2692012288786473,0,0.03492463672040219,0.43190555513827517
flare_birth_motion_decay,18,5244834415415681135,False,False,1,61,31,0,0,30,0,0.33482913306189876,0.3348291330619021,0,0.007777218966670758,0.4776940330021555
flare_birth_motion_decay,19,927818101171833820,False,False,1,61,20,0,0,41,0,0.25571567721422445,0.25571567721422667,0,0.006766745701729471,0.3741122781332303
flare_birth_motion_decay,20,8980275652597662981,False,False,1,61,31,0,0,30,0,0.27857032742350873,0.27857032742351073,0,0.025058264940813004,0.35155388980708335
flare_birth_motion_decay,21,1381275852893851401,False,False,1,61,28,0,0,33,0,0.03840245775729587,0.25293230074824463,0,0.008884726424729268,0.4424980261104552
flare_birth_motion_decay,22,7642958279283526462,False,False,1,61,21,0,0,40,0,0.26153201533885573,0.26153201533885573,0,0.013338501394521729,0.535632892791032
flare_birth_motion_decay,23,7025674978446997385,False,False,1,61,22,0,0,39,0,0.24577572964669944,0.3505791056001014,0,0.009180196936228409,0.59860569954802
plunging_feature,0,3866296241668984705,False,False,1,61,61,0,0,0,0,0.25421179795004184,0.254211797950044,0,0.07786547838910209,0.37908827168757886
plunging_feature,1,1719075766205032507,False,False,1,61,61,0,0,0,0,0.25293230074824463,0.25293230074824685,0,0.1265749236742161,0.7551599849168715
plunging_feature,2,4406408180629826157,False,False,1,61,61,0,0,0,0,0.2073732718894008,0.3248132908212304,0,0.12344268477548025,0.7049304767603917
plunging_feature,3,859412193878981785,False,False,1,61,61,0,0,0,0,0.3152280429229345,0.31522804292293805,0,0.06700307642361085,0.3446404152939456
plunging_feature,4,6039752288247848699,False,False,1,61,61,0,0,0,0,0.31060941948352616,0.3106094194835298,0,0.0729358580671916,0.4953473730944009
plunging_feature,5,2117736512075999783,False,False,1,61,61,0,0,0,0,0.3615140145909629,0.361514014590966,0,0.09468245844512768,0.6255160503649791
