geometry,spin,inclination_deg,window_fraction,age_order0,I_order0,age_order1,I_order1,age_order2,I_order2,Gamma_sensitivity_matched_0_to_1,Gamma_sensitivity_matched_0_to_1_status,Gamma_sensitivity_matched_1_to_2,Gamma_sensitivity_matched_1_to_2_status
a050_i075,0.5,75,0.39999999999999997,77.91299456217737,187.27581093605292,123.82533163771424,12.248725158875775,141.74054172264425,0.06562933065231442,1.3635802960505323,ok,2.6145772161336285,ok
a050_i075,0.5,75,0.44999999999999996,82.9693356430738,209.4740855108436,126.60929491661032,11.433622180238574,144.7500623676181,0.056486370083981746,1.4540208530515537,ok,2.655157118073105,ok
a050_i075,0.5,75,0.49999999999999994,88.02567672397026,216.3314725579736,129.3932581955064,10.145440014753747,147.75958301259197,0.04835513593820219,1.5298937408308875,ok,2.6731035917365658,ok
a050_i075,0.5,75,0.5499999999999999,93.0820178048667,214.86192185335193,132.17722147440247,8.624952572528224,150.76910365756584,0.03999547870795634,1.607668066905318,ok,2.686824163811461,ok
a050_i075,0.5,75,0.6,98.13835888576315,201.08429067044844,134.96118475329857,7.061132136827963,153.7786243025397,0.03307576956083709,1.6745593893750184,ok,2.681779850039673,ok
a050_i075,0.5,75,0.65,103.19469996665961,184.07148854745003,137.74514803219463,5.584350529936929,156.78814494751356,0.026390166796393538,1.747678034695749,ok,2.677365972761635,ok
a050_i075,0.5,75,0.7,108.25104104755604,171.29786032561316,140.52911131109073,4.187895937350747,159.79766559248742,0.019802069100556787,1.855602734782734,ok,2.6770836457989224,ok
a050_i075,0.5,75,0.75,113.3073821284525,165.23860070499896,143.3130745899868,2.837704081674281,162.80718623746128,0.013720730739487218,2.0321975954781064,ok,2.665921350242668,ok
a050_i075,0.5,75,0.7999999999999999,118.36372320934895,143.15086886170383,146.09703786888286,1.5407275014242452,165.81670688243514,0.008492946390497507,2.2658221963573064,ok,2.6003870024015607,ok
a050_i075,0.5,75,0.85,123.42006429024539,105.68597714821249,148.88100114777896,0.5438055244469316,168.826227527409,0.0043863543470200345,2.6348179027082175,ok,2.4100466269542236,ok
a050_i075,0.5,75,0.9,128.47640537114185,70.18618159492375,151.66496442667503,0.10854183626703011,171.83574817238286,0.001969468863465766,3.2358855204426544,ok,2.0046858962156193,ok
a050_i075,0.5,75,0.95,133.53274645203828,34.91016857707844,154.44892770557112,0.03066909865552918,174.84526881735673,0.0010177437548079032,3.5186389198856896,ok,1.7028337085561527,ok
a090_i020,0.9,20,0.05,1.2638637421803254,663.2255704283901,30.890336057077082,3.5914033818189917,46.1887711013146,0.13804810079907365,2.6092860594717187,ok,1.6293480691552398,ok
