source_class,bank,family,split,index,representation_floor_relative,representation_floor_structure_relative,old_band_structure_floor
L448,constant_flux_structural,circular_single_hotspot,pilot,4,0.5851599782703528,0.6174743540177747,21.869523835890305
L448,constant_flux_structural,circular_single_hotspot,pilot,5,0.2393258659197751,0.30045026184757484,3.1065811894863664
L448,constant_flux_structural,circular_single_hotspot,pilot,6,0.5057457025881569,0.5583358518362155,13.936825533735087
L448,constant_flux_structural,circular_single_hotspot,pilot,7,0.6587410091797005,0.70918134950743,21.547264062535877
L448,constant_flux_structural,circular_single_hotspot,selection,0,0.627448356376781,0.6642337272166094,23.024086179817978
L448,constant_flux_structural,circular_single_hotspot,selection,1,0.31248557077780453,0.344092176274321,7.3082647760635835
L448,constant_flux_structural,circular_single_hotspot,selection,2,0.8141769561417206,0.831863616874308,48.92852564881397
L448,constant_flux_structural,circular_single_hotspot,selection,3,0.32940410113497054,0.456696120173487,4.933992634943976
L448,constant_flux_structural,circular_single_hotspot,selection,4,0.3667139212657349,0.40391694240291337,9.333319864709983
L448,constant_flux_structural,circular_single_hotspot,selection,5,0.31860536777987514,0.37655998828080745,6.007125025953302
L448,constant_flux_structural,circular_single_hotspot,selection,6,0.2015025999537971,0.2660392506049679,1.652709416423971
L448,constant_flux_structural,circular_single_hotspot,selection,7,0.2826947615612281,0.3569857771928245,4.32867152999177
L448,constant_flux_structural,circular_two_hotspots,pilot,0,0.20510855074929601,0.2932394977869801,1.6732496980604339
L448,constant_flux_structural,circular_two_hotspots,pilot,1,0.32238472532182105,0.44441537601387476,4.78787482268683
L448,constant_flux_structural,circular_two_hotspots,pilot,2,0.7704352320375454,0.819146065130618,27.854665145051268
L448,constant_flux_structural,circular_two_hotspots,pilot,3,0.5478218046715111,0.6454579706814727,12.301266140879486
L448,constant_flux_structural,circular_two_hotspots,pilot,4,0.38089684632155585,0.4580642128637821,7.418433602342253
L448,constant_flux_structural,circular_two_hotspots,pilot,5,0.3541737390058955,0.4940331711646322,5.4508296979695405
L448,constant_flux_structural,circular_two_hotspots,pilot,6,0.5489338978349508,0.6083893762884465,15.295936481204654
L448,constant_flux_structural,circular_two_hotspots,pilot,7,0.3097344415786927,0.4000899149529329,4.641152220779496
L448,constant_flux_structural,circular_two_hotspots,selection,0,0.46326185644233175,0.5367066920600557,10.553665536903047
L448,constant_flux_structural,circular_two_hotspots,selection,1,0.45996852821980316,0.5664377332926052,9.000466020955036
L448,constant_flux_structural,circular_two_hotspots,selection,2,0.2863831939045183,0.40973470813908425,3.803167239463388
L448,constant_flux_structural,circular_two_hotspots,selection,3,0.46723539654328533,0.5326206775793126,11.049129837843878
L448,constant_flux_structural,circular_two_hotspots,selection,4,0.2508147128027108,0.3248262919397509,3.311040702358659
L448,constant_flux_structural,circular_two_hotspots,selection,5,0.2729076968888856,0.3362206675073044,4.18277695266644
L448,constant_flux_structural,circular_two_hotspots,selection,6,0.2540254139690882,0.38264437420095415,2.726539938333411
L448,constant_flux_structural,circular_two_hotspots,selection,7,0.26487845332632565,0.3876260777553576,3.231007572370665
L448,constant_flux_structural,plunging_hotspot,pilot,0,0.5195548747805091,0.5846139414498177,13.272580433067116
L448,constant_flux_structural,plunging_hotspot,pilot,1,0.7478904596215658,0.7734150228414802,35.86098416605382
L448,constant_flux_structural,plunging_hotspot,pilot,2,0.31339934911932965,0.33050146286578597,9.54843117072361
L448,constant_flux_structural,plunging_hotspot,pilot,3,0.609935400120311,0.6342952064448945,26.46003334183423
L448,constant_flux_structural,plunging_hotspot,pilot,4,0.6452368830679461,0.7034418680299938,19.5656319606856
L448,constant_flux_structural,plunging_hotspot,pilot,5,0.5330922864385483,0.558396879472375,20.8639689739215
L448,constant_flux_structural,plunging_hotspot,pilot,6,0.44802298625610226,0.4629424493808352,19.780213361429457
L448,constant_flux_structural,plunging_hotspot,pilot,7,0.5216677034458305,0.5342022102807927,27.999844950405862
L448,constant_flux_structural,plunging_hotspot,selection,0,0.5606458453411377,0.5839182379078413,23.559331287448746
L448,constant_flux_structural,plunging_hotspot,selection,1,0.5821200713792956,0.625001515033233,19.012631858061287
L448,constant_flux_structural,plunging_hotspot,selection,2,0.8264957272948832,0.849204662675887,44.37340864837499
L448,constant_flux_structural,plunging_hotspot,selection,3,0.7273245112538628,0.7780195982897418,25.033107986222138
L448,constant_flux_structural,plunging_hotspot,selection,4,0.44790371482426705,0.46999171095645104,16.51925153449817
L448,constant_flux_structural,plunging_hotspot,selection,5,0.3876925833102638,0.4269477216077581,9.995973806998027
L448,constant_flux_structural,plunging_hotspot,selection,6,0.4939611226456939,0.516419651510206,19.37523016617089
L448,constant_flux_structural,plunging_hotspot,selection,7,0.35186101953375837,0.3652781213623998,13.250065028415806
L448,structure_balanced_050,circular_crescent,pilot,0,0.2915634440270105,0.546492613029461,2.0337417600972194
L448,structure_balanced_050,circular_crescent,pilot,1,0.23437623843891497,0.4223104226788618,1.546638016435786
L448,structure_balanced_050,circular_crescent,pilot,2,0.34007411097874046,0.6490137227792329,2.507866384375125
L448,structure_balanced_050,circular_crescent,pilot,3,0.19296480130514243,0.32796168479701954,0.8446662049311222
L448,structure_balanced_050,circular_crescent,pilot,4,0.1908687285984747,0.3230181028226738,0.7954776505453098
L448,structure_balanced_050,circular_crescent,pilot,5,0.1954959932865152,0.35538765440645653,0.8046578205067858
L448,structure_balanced_050,circular_crescent,pilot,6,0.23973793153038903,0.4341823485378464,2.1071269221053237
L448,structure_balanced_050,circular_crescent,pilot,7,0.27111773239352316,0.5026295930372714,2.0045500954043125
L448,structure_balanced_050,circular_crescent,selection,0,0.2135341956843674,0.3755058181044335,1.719349001889412
L448,structure_balanced_050,circular_crescent,selection,1,0.18962254743717996,0.32006882152163646,0.8114879444112659
L448,structure_balanced_050,circular_crescent,selection,2,0.25300330765846074,0.463314043892939,2.1536887458518583
L448,structure_balanced_050,circular_crescent,selection,3,0.219785888277968,0.38966723658592023,1.5860084156387
L448,structure_balanced_050,circular_crescent,selection,4,0.4001135865921984,0.7739384582939519,2.882683327886427
L448,structure_balanced_050,circular_crescent,selection,5,0.19093413247353458,0.32317267876118244,0.7783371018557941
