class,arm,estimator,snr0,family,index,target,age_M,state,measure,error
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,38.0,SINGLE_RESOLVED,assignment,0.7999999999999999
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,40.0,SINGLE_RESOLVED,assignment,0.7499999999999999
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,42.0,SINGLE_RESOLVED,assignment,0.6818653584195852
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,44.0,SINGLE_RESOLVED,assignment,0.5227980376293777
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,46.0,SINGLE_RESOLVED,assignment,0.5509779618928866
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,48.0,SINGLE_RESOLVED,assignment,0.06448258802191606
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,50.0,SINGLE_RESOLVED,assignment,0.06448258802191606
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,52.0,SINGLE_RESOLVED,assignment,0.10195592378577312
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,54.0,SINGLE_RESOLVED,assignment,0.10195592378577312
L896_radial_enriched,DIRECT_PHYSICAL,TSVD,100.0,circular_hotspot_trajectory,1,PHYSICAL_END_TO_END,56.0,SINGLE_RESOLVED,assignment,0.10195592378577312
